10000 15000
0 3 3
0 4 2
0 6 6
0 7 4
0 16 2
0 20 4
0 22 9
0 24 3
0 27 8
0 32 10
0 37 7
0 38 5
0 41 8
0 44 2
0 46 5
0 50 6
0 52 7
0 56 6
0 66 6
0 67 7
0 71 10
0 79 1
0 80 6
0 84 1
0 85 9
0 89 4
0 93 6
0 104 10
0 107 8
0 109 7
0 110 3
0 123 1
0 132 5
0 139 4
0 140 9
0 144 10
0 149 4
0 156 5
0 157 1
0 160 6
0 171 6
0 174 3
0 175 2
0 179 8
0 180 5
0 182 1
0 184 10
0 188 3
0 203 3
0 210 6
0 217 1
0 219 7
0 221 4
0 228 2
0 235 10
0 236 4
0 239 6
0 245 6
0 247 5
0 251 10
0 253 9
0 268 1
0 271 4
0 274 5
0 277 7
0 279 5
0 291 7
0 294 1
0 302 2
0 306 3
0 310 7
0 311 1
0 327 1
0 328 4
0 338 1
0 341 2
0 345 4
0 350 3
0 356 1
0 360 5
0 361 10
0 363 1
0 366 7
0 369 4
0 371 4
0 373 10
0 374 7
0 375 1
0 379 9
0 387 1
0 389 6
0 399 5
0 408 9
0 418 4
0 422 7
0 425 3
0 429 10
0 430 1
0 434 1
0 439 10
0 441 4
0 454 9
0 457 5
0 460 1
0 465 10
0 477 10
0 487 4
0 488 1
0 494 2
0 495 10
0 503 2
0 504 1
0 511 9
0 512 7
0 524 5
0 528 3
0 530 10
0 532 9
0 537 1
0 543 7
0 548 10
0 550 9
0 555 10
0 556 3
0 559 1
0 570 8
0 582 9
0 585 8
0 594 5
0 604 6
0 605 2
0 612 3
0 624 5
0 639 9
0 640 2
0 650 8
0 665 1
0 673 1
0 674 1
0 681 1
0 687 1
0 691 4
0 699 6
0 715 6
0 718 6
0 721 2
0 726 3
0 729 8
0 730 1
0 733 9
0 741 7
0 743 3
0 745 10
0 748 3
0 749 9
0 753 4
0 779 10
0 781 4
0 785 6
0 805 6
0 824 4
0 828 2
0 836 9
0 841 2
0 845 5
0 848 3
0 852 9
0 861 6
0 877 1
0 890 1
0 891 1
0 895 2
0 909 10
0 910 5
0 911 7
0 912 9
0 913 1
0 915 5
0 917 8
0 923 10
0 927 7
0 936 1
0 939 9
